spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,liked_at,name,artists,popularity,artist_id,genres
4zqZ7hR4Pl3UT0p19En1ib,0.782,0.569,9,-6.066,0,0.0716,0.369,0.0352,0.164,0.623,82.999,audio_features,spotify:track:4zqZ7hR4Pl3UT0p19En1ib,https://api.spotify.com/v1/tracks/4zqZ7hR4Pl3UT0p19En1ib,https://api.spotify.com/v1/audio-analysis/4zqZ7hR4Pl3UT0p19En1ib,179359,4,2023-06-20T16:20:48Z,taste of u,King Isis,39,7jz1wM1NdiskFWrlosZhVw,[]
2E69siDC6P2Rb2Cu3aITA3,0.48,0.651,2,-5.195,1,0.0286,0.191,4.89e-06,0.0864,0.458,124.097,audio_features,spotify:track:2E69siDC6P2Rb2Cu3aITA3,https://api.spotify.com/v1/tracks/2E69siDC6P2Rb2Cu3aITA3,https://api.spotify.com/v1/audio-analysis/2E69siDC6P2Rb2Cu3aITA3,263571,4,2023-06-16T12:14:57Z,Spitting Off the Edge of the World - Lush Version,"Yeah Yeah Yeahs,Perfume Genius",56,3TNt4aUIxgfy9aoaft5Jj2,"['alternative dance', 'alternative rock', 'art pop', 'dance-punk', 'garage rock', 'indie rock', 'modern rock', 'neo-synthpop', 'new rave']"
33WTgxRdPBQQpVCMXpNxhO,0.726,0.738,6,-6.589,0,0.0602,0.102,2.17e-05,0.0882,0.414,115.904,audio_features,spotify:track:33WTgxRdPBQQpVCMXpNxhO,https://api.spotify.com/v1/tracks/33WTgxRdPBQQpVCMXpNxhO,https://api.spotify.com/v1/audio-analysis/33WTgxRdPBQQpVCMXpNxhO,201640,4,2023-06-04T14:23:53Z,Cure For Me,AURORA,69,1WgXqy2Dd70QQOU7Ay074N,"['art pop', 'norwegian pop']"
6STnrl2lapbsGzEkqHZ5Rn,0.489,0.74,7,-6.317,1,0.0401,0.000134,0.00659,0.131,0.339,98.881,audio_features,spotify:track:6STnrl2lapbsGzEkqHZ5Rn,https://api.spotify.com/v1/tracks/6STnrl2lapbsGzEkqHZ5Rn,https://api.spotify.com/v1/audio-analysis/6STnrl2lapbsGzEkqHZ5Rn,218327,4,2023-06-04T02:32:08Z,Little Bastards,Palaye Royale,61,0hAd6zwEgt9ILuMDY1prcI,"['modern alternative rock', 'vegas indie']"
0k7V0datb9PpWRDGkB0xzq,0.545,0.788,3,-4.255,0,0.0518,0.383,1.17e-05,0.155,0.398,169.891,audio_features,spotify:track:0k7V0datb9PpWRDGkB0xzq,https://api.spotify.com/v1/tracks/0k7V0datb9PpWRDGkB0xzq,https://api.spotify.com/v1/audio-analysis/0k7V0datb9PpWRDGkB0xzq,188470,4,2023-06-04T02:31:55Z,Superstar (feat. Remington Leith),"Crown The Empire,Palaye Royale,Remington Leith",59,2vKiJjsgjgqIECUyYeIVvO,"['metalcore', 'pop punk', 'post-post-hardcore', 'screamo', 'trancecore']"
4pt5fDVTg5GhEvEtlz9dKk,0.75,0.608,1,-4.008,1,0.0387,0.00165,0.0,0.178,0.958,132.507,audio_features,spotify:track:4pt5fDVTg5GhEvEtlz9dKk,https://api.spotify.com/v1/tracks/4pt5fDVTg5GhEvEtlz9dKk,https://api.spotify.com/v1/audio-analysis/4pt5fDVTg5GhEvEtlz9dKk,173347,4,2023-06-03T23:22:02Z,I WANNA BE YOUR SLAVE,Måneskin,85,0lAWpj5szCSwM4rUMHYmrr,"['indie rock italiano', 'italian pop', 'pop']"
63WuQOXohQIxOxIFA2K7bR,0.636,0.876,7,-3.413,1,0.0555,0.00164,0.0,0.117,0.799,120.983,audio_features,spotify:track:63WuQOXohQIxOxIFA2K7bR,https://api.spotify.com/v1/tracks/63WuQOXohQIxOxIFA2K7bR,https://api.spotify.com/v1/audio-analysis/63WuQOXohQIxOxIFA2K7bR,148064,4,2023-06-03T23:19:16Z,SUPERMODEL,Måneskin,77,0lAWpj5szCSwM4rUMHYmrr,"['indie rock italiano', 'italian pop', 'pop']"
6O9PQ3fgYr3bxA5iZGtKDM,0.483,0.719,1,-5.494,1,0.0543,0.00601,0.531,0.134,0.176,86.982,audio_features,spotify:track:6O9PQ3fgYr3bxA5iZGtKDM,https://api.spotify.com/v1/tracks/6O9PQ3fgYr3bxA5iZGtKDM,https://api.spotify.com/v1/audio-analysis/6O9PQ3fgYr3bxA5iZGtKDM,275982,4,2023-05-29T12:32:24Z,Disintegrate Slowly,The Glitch Mob,35,3a9qv6NLHnsVxJUtKOMHvD,"['glitch', 'glitch hop', 'indietronica']"
2L9N0zZnd37dwF0clgxMGI,0.516,0.322,9,-11.762,1,0.0292,0.473,0.00194,0.215,0.261,148.005,audio_features,spotify:track:2L9N0zZnd37dwF0clgxMGI,https://api.spotify.com/v1/tracks/2L9N0zZnd37dwF0clgxMGI,https://api.spotify.com/v1/audio-analysis/2L9N0zZnd37dwF0clgxMGI,182888,3,2023-05-18T19:55:20Z,ceilings,Lizzy McAlpine,88,1GmsPCcpKgF9OhlNXjOsbS,"['alt z', 'boston folk', 'indie pop']"
0LAcM6I7ijW4VVW0aytl1t,0.438,0.687,7,-9.15,1,0.0619,0.000668,0.0801,0.42,0.426,103.01,audio_features,spotify:track:0LAcM6I7ijW4VVW0aytl1t,https://api.spotify.com/v1/tracks/0LAcM6I7ijW4VVW0aytl1t,https://api.spotify.com/v1/audio-analysis/0LAcM6I7ijW4VVW0aytl1t,446146,3,2023-05-18T14:26:30Z,One (Remastered),Metallica,73,2ye2Wgw4gimLv2eAKyk1NB,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']"
0gmStTUTuiU807EB4KafOX,0.67,0.707,11,-9.726,0,0.0358,0.714,0.065,0.0634,0.799,89.008,audio_features,spotify:track:0gmStTUTuiU807EB4KafOX,https://api.spotify.com/v1/tracks/0gmStTUTuiU807EB4KafOX,https://api.spotify.com/v1/audio-analysis/0gmStTUTuiU807EB4KafOX,220887,4,2023-05-16T11:23:57Z,Yours,maye,60,5ti5FPHgtaSf15KcUisZMt,['latinx alternative']
1jecO8NeYLsVWVptITz4c1,0.732,0.555,5,-7.973,1,0.0326,0.627,0.0,0.112,0.73,114.982,audio_features,spotify:track:1jecO8NeYLsVWVptITz4c1,https://api.spotify.com/v1/tracks/1jecO8NeYLsVWVptITz4c1,https://api.spotify.com/v1/audio-analysis/1jecO8NeYLsVWVptITz4c1,206612,4,2023-05-16T11:20:02Z,Tú,maye,67,5ti5FPHgtaSf15KcUisZMt,['latinx alternative']
0sBAwzKnPSSi74NMbn9WKI,0.553,0.782,5,-7.426,1,0.0367,0.175,0.862,0.153,0.629,180.024,audio_features,spotify:track:0sBAwzKnPSSi74NMbn9WKI,https://api.spotify.com/v1/tracks/0sBAwzKnPSSi74NMbn9WKI,https://api.spotify.com/v1/audio-analysis/0sBAwzKnPSSi74NMbn9WKI,196000,4,2023-05-10T17:00:30Z,Menace,Rezz,54,4aKdmOXdUKX07HVd3sGgzw,"['brostep', 'canadian electronic', 'edm', 'electra', 'electro house']"
5z8uM7nBjl7kHGiYHvm94Z,0.27,0.998,7,-4.525,1,0.329,0.0015,0.631,0.419,0.25,123.682,audio_features,spotify:track:5z8uM7nBjl7kHGiYHvm94Z,https://api.spotify.com/v1/tracks/5z8uM7nBjl7kHGiYHvm94Z,https://api.spotify.com/v1/audio-analysis/5z8uM7nBjl7kHGiYHvm94Z,166448,4,2023-05-10T16:44:38Z,Blue In The Face,"Rezz,Shadient,fknsyd",48,4aKdmOXdUKX07HVd3sGgzw,"['brostep', 'canadian electronic', 'edm', 'electra', 'electro house']"
5m4EJmInvHQJ1wvPx2Qs36,0.568,0.825,0,-5.074,1,0.0387,0.000639,0.00283,0.557,0.554,111.029,audio_features,spotify:track:5m4EJmInvHQJ1wvPx2Qs36,https://api.spotify.com/v1/tracks/5m4EJmInvHQJ1wvPx2Qs36,https://api.spotify.com/v1/audio-analysis/5m4EJmInvHQJ1wvPx2Qs36,239865,4,2023-05-10T16:38:17Z,Shotgun - Magdalena Bay Remix,"Soccer Mommy,Magdalena Bay",43,4wXchxfTTggLtzkoUhO86Q,"['art pop', 'bubblegrunge', 'indie pop', 'indie rock', 'small room']"
5F0h98msxVR8rqhJQDbBaG,0.617,0.686,2,-7.688,1,0.0624,0.0182,0.0,0.0847,0.508,87.971,audio_features,spotify:track:5F0h98msxVR8rqhJQDbBaG,https://api.spotify.com/v1/tracks/5F0h98msxVR8rqhJQDbBaG,https://api.spotify.com/v1/audio-analysis/5F0h98msxVR8rqhJQDbBaG,266157,4,2023-05-09T11:39:23Z,suburban wonderland,BETWEEN FRIENDS,53,2HkSsS8O2U2gPhnCGVN5vn,"['indie pop', 'la pop', 'pov: indie']"
6osru1Fx1n50mRD8QWI9m1,0.494,0.406,0,-8.472,0,0.0559,0.848,5.63e-06,0.0765,0.0853,159.957,audio_features,spotify:track:6osru1Fx1n50mRD8QWI9m1,https://api.spotify.com/v1/tracks/6osru1Fx1n50mRD8QWI9m1,https://api.spotify.com/v1/audio-analysis/6osru1Fx1n50mRD8QWI9m1,241667,4,2023-04-30T18:22:32Z,TODAY,Q,63,22vqVhfPJab5kkU9txDGX3,['indie r&b']
0nMOZnZA4GnipZXswSmCS6,0.387,0.352,8,-6.864,1,0.027,0.859,0.0,0.135,0.137,86.168,audio_features,spotify:track:0nMOZnZA4GnipZXswSmCS6,https://api.spotify.com/v1/tracks/0nMOZnZA4GnipZXswSmCS6,https://api.spotify.com/v1/audio-analysis/0nMOZnZA4GnipZXswSmCS6,181029,4,2023-04-21T15:34:02Z,Clairvoyant,The Story So Far,62,6meTcQ79DrfkIuSLPZkpBg,"['alternative emo', 'emo', 'pop punk']"
0y60itmpH0aPKsFiGxmtnh,0.764,0.705,3,-5.279,0,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003,audio_features,spotify:track:0y60itmpH0aPKsFiGxmtnh,https://api.spotify.com/v1/tracks/0y60itmpH0aPKsFiGxmtnh,https://api.spotify.com/v1/audio-analysis/0y60itmpH0aPKsFiGxmtnh,196520,4,2023-04-13T14:08:40Z,Wait a Minute!,WILLOW,83,3rWZHrfrsPBxVy692yAIxF,"['afrofuturism', 'pop', 'post-teen pop', 'pov: indie']"
3vgVK6gKfRatuh17mEeetx,0.469,0.726,1,-6.765,1,0.0364,0.526,0.722,0.112,0.215,116.222,audio_features,spotify:track:3vgVK6gKfRatuh17mEeetx,https://api.spotify.com/v1/tracks/3vgVK6gKfRatuh17mEeetx,https://api.spotify.com/v1/audio-analysis/3vgVK6gKfRatuh17mEeetx,178047,4,2023-04-13T13:23:20Z,Tile By Tile,Alvvays,59,3kzwYV3OCB010YfXMF0Avt,"['art pop', 'chamber pop', 'dream pop', 'dreamo', 'indie pop', 'indie rock', 'noise pop', 'shoegaze', 'toronto indie']"
6lMxGGVsO1JAdzk0z6Q3Rh,0.769,0.387,1,-16.97,1,0.0432,0.835,0.909,0.1,0.588,138.003,audio_features,spotify:track:6lMxGGVsO1JAdzk0z6Q3Rh,https://api.spotify.com/v1/tracks/6lMxGGVsO1JAdzk0z6Q3Rh,https://api.spotify.com/v1/audio-analysis/6lMxGGVsO1JAdzk0z6Q3Rh,106995,4,2023-04-12T15:28:11Z,Babyyy,Grace Ives,59,4TZieE5978SbTInJswaay2,['experimental indie']
0tP8FKhJsar5y4JcOH4Rjp,0.628,0.909,9,-6.168,0,0.0423,6.78e-05,0.372,0.923,0.164,120.01,audio_features,spotify:track:0tP8FKhJsar5y4JcOH4Rjp,https://api.spotify.com/v1/tracks/0tP8FKhJsar5y4JcOH4Rjp,https://api.spotify.com/v1/audio-analysis/0tP8FKhJsar5y4JcOH4Rjp,204391,4,2023-04-12T15:21:08Z,You Lose!,Magdalena Bay,53,1oPRcJUkloHaRLYx0olBLJ,['la pop']
2wcrQZ7ZJolYEfIaPP9yL4,0.732,0.523,4,-6.939,1,0.0314,0.133,0.000103,0.264,0.261,116.961,audio_features,spotify:track:2wcrQZ7ZJolYEfIaPP9yL4,https://api.spotify.com/v1/tracks/2wcrQZ7ZJolYEfIaPP9yL4,https://api.spotify.com/v1/audio-analysis/2wcrQZ7ZJolYEfIaPP9yL4,184132,4,2023-04-10T23:21:48Z,Hit Me Where It Hurts,Caroline Polachek,57,4Ge8xMJNwt6EEXOzVXju9a,"['art pop', 'escape room', 'indie pop', 'indietronica']"
5tSlvnrTOy6rQpam9iZUKh,0.633,0.952,0,-5.032,1,0.133,0.122,0.109,0.0705,0.777,169.972,audio_features,spotify:track:5tSlvnrTOy6rQpam9iZUKh,https://api.spotify.com/v1/tracks/5tSlvnrTOy6rQpam9iZUKh,https://api.spotify.com/v1/audio-analysis/5tSlvnrTOy6rQpam9iZUKh,162480,4,2023-04-10T12:10:55Z,Cdbaby<3,chloe moriondo,47,3P4vW5tzQvmuoNaFQqzy9q,"['alt z', 'bedroom pop', 'indie pop', 'pov: indie']"
6OBQJkM9RtQXcYL26Az2Pg,0.723,0.593,5,-6.607,0,0.037,0.123,0.000734,0.126,0.874,120.052,audio_features,spotify:track:6OBQJkM9RtQXcYL26Az2Pg,https://api.spotify.com/v1/tracks/6OBQJkM9RtQXcYL26Az2Pg,https://api.spotify.com/v1/audio-analysis/6OBQJkM9RtQXcYL26Az2Pg,200000,4,2023-04-07T17:06:33Z,Bumblebee,Dora Jar,49,4V30Q8ACPdJCcAmAYibfrH,['indie pop']
7epHw01JrUjS1kKdxdENTE,0.695,0.223,2,-12.786,1,0.0319,0.924,0.00342,0.139,0.354,121.981,audio_features,spotify:track:7epHw01JrUjS1kKdxdENTE,https://api.spotify.com/v1/tracks/7epHw01JrUjS1kKdxdENTE,https://api.spotify.com/v1/audio-analysis/7epHw01JrUjS1kKdxdENTE,136320,4,2023-04-07T17:03:53Z,Multiply,Dora Jar,49,4V30Q8ACPdJCcAmAYibfrH,['indie pop']
4R2DDseYW2tsmMhvdQQ2Po,0.415,0.45,6,-8.529,0,0.0599,0.578,2.82e-05,0.155,0.305,93.17,audio_features,spotify:track:4R2DDseYW2tsmMhvdQQ2Po,https://api.spotify.com/v1/tracks/4R2DDseYW2tsmMhvdQQ2Po,https://api.spotify.com/v1/audio-analysis/4R2DDseYW2tsmMhvdQQ2Po,214468,4,2023-04-06T17:40:57Z,erase me,"Lizzy McAlpine,Jacob Collier",62,1GmsPCcpKgF9OhlNXjOsbS,"['alt z', 'boston folk', 'indie pop']"
4WjxtORnwPavm5PDsAWJEc,0.404,0.268,1,-9.631,1,0.0341,0.583,0.0,0.102,0.124,134.587,audio_features,spotify:track:4WjxtORnwPavm5PDsAWJEc,https://api.spotify.com/v1/tracks/4WjxtORnwPavm5PDsAWJEc,https://api.spotify.com/v1/audio-analysis/4WjxtORnwPavm5PDsAWJEc,268433,3,2023-03-28T17:05:47Z,doomsday,Lizzy McAlpine,69,1GmsPCcpKgF9OhlNXjOsbS,"['alt z', 'boston folk', 'indie pop']"
6TMsLIRJQ7LkfFY3g0DGKS,0.497,0.882,4,-7.168,0,0.0319,0.166,0.74,0.137,0.0389,97.032,audio_features,spotify:track:6TMsLIRJQ7LkfFY3g0DGKS,https://api.spotify.com/v1/tracks/6TMsLIRJQ7LkfFY3g0DGKS,https://api.spotify.com/v1/audio-analysis/6TMsLIRJQ7LkfFY3g0DGKS,194249,4,2023-03-20T14:57:16Z,Suffer In Silence,Rezz,57,4aKdmOXdUKX07HVd3sGgzw,"['brostep', 'canadian electronic', 'edm', 'electra', 'electro house']"
2jPbjvYVWWzQNkMLKP30nX,0.566,0.578,4,-7.952,1,0.028,0.218,0.778,0.16,0.578,99.945,audio_features,spotify:track:2jPbjvYVWWzQNkMLKP30nX,https://api.spotify.com/v1/tracks/2jPbjvYVWWzQNkMLKP30nX,https://api.spotify.com/v1/audio-analysis/2jPbjvYVWWzQNkMLKP30nX,113625,4,2023-03-16T14:36:36Z,no way out,Ivri,52,5EjK7aUvQ9LMNqc2zXiWLS,[]
3Bu8OKnsZHItgonmDr7K88,0.334,0.418,8,-7.957,1,0.0376,0.103,0.000104,0.862,0.208,145.087,audio_features,spotify:track:3Bu8OKnsZHItgonmDr7K88,https://api.spotify.com/v1/tracks/3Bu8OKnsZHItgonmDr7K88,https://api.spotify.com/v1/audio-analysis/3Bu8OKnsZHItgonmDr7K88,238107,4,2023-03-14T22:06:21Z,Maybe That's Why,Devon Again,31,3xz28DkZR6bmPpVh6Rq13t,[]
2ZXpvKXFTvuwxlWsgsVlxu,0.744,0.443,2,-10.72,0,0.0558,0.139,0.0,0.275,0.357,103.274,audio_features,spotify:track:2ZXpvKXFTvuwxlWsgsVlxu,https://api.spotify.com/v1/tracks/2ZXpvKXFTvuwxlWsgsVlxu,https://api.spotify.com/v1/audio-analysis/2ZXpvKXFTvuwxlWsgsVlxu,243950,4,2023-03-12T00:15:58Z,Blowback,Galimatias,49,0tOrKkXIn3VYyVHFEPG6Xd,['vapor twitch']
1qLWOCtiIYPJkLQxdqwYxk,0.525,0.922,7,-6.136,1,0.0735,0.000167,3.5e-06,0.77,0.494,142.971,audio_features,spotify:track:1qLWOCtiIYPJkLQxdqwYxk,https://api.spotify.com/v1/tracks/1qLWOCtiIYPJkLQxdqwYxk,https://api.spotify.com/v1/audio-analysis/1qLWOCtiIYPJkLQxdqwYxk,188243,4,2023-03-11T23:42:19Z,Head Cheerleader,Pom Pom Squad,40,1yhTALwId0bpL1U1XRT3Zs,['bubblegrunge']
5uQTrhuOuaefkHmtwT5M3h,0.559,0.557,8,-5.658,1,0.0423,0.396,2.78e-05,0.122,0.447,145.972,audio_features,spotify:track:5uQTrhuOuaefkHmtwT5M3h,https://api.spotify.com/v1/tracks/5uQTrhuOuaefkHmtwT5M3h,https://api.spotify.com/v1/audio-analysis/5uQTrhuOuaefkHmtwT5M3h,228627,4,2023-03-11T22:46:56Z,Broke Mine Too,Devon Again,36,3xz28DkZR6bmPpVh6Rq13t,[]
7JXVPV3BIeuDs7JImsuN9P,0.34,0.823,4,-7.181,1,0.0455,0.0854,0.668,0.141,0.0389,119.972,audio_features,spotify:track:7JXVPV3BIeuDs7JImsuN9P,https://api.spotify.com/v1/tracks/7JXVPV3BIeuDs7JImsuN9P,https://api.spotify.com/v1/audio-analysis/7JXVPV3BIeuDs7JImsuN9P,246405,4,2023-03-11T22:05:10Z,Hopeful,ODESZA,63,21mKp7DqtSNHhCAU2ugvUw,"['chillwave', 'edm', 'indietronica']"
5bcjREGkqwlYD272fyhwc6,0.54,0.53,7,-8.247,1,0.0343,0.0675,1.16e-05,0.104,0.497,156.13,audio_features,spotify:track:5bcjREGkqwlYD272fyhwc6,https://api.spotify.com/v1/tracks/5bcjREGkqwlYD272fyhwc6,https://api.spotify.com/v1/audio-analysis/5bcjREGkqwlYD272fyhwc6,254480,4,2023-03-11T21:29:55Z,Little Black Sandals,Sia,38,5WUlDfRSoLAfcVSX1WnrxN,"['australian dance', 'australian pop', 'pop']"
1sEoTdMnGlDjiQRIYrJDvz,0.495,0.801,3,-3.997,0,0.0798,0.185,0.00104,0.101,0.497,156.969,audio_features,spotify:track:1sEoTdMnGlDjiQRIYrJDvz,https://api.spotify.com/v1/tracks/1sEoTdMnGlDjiQRIYrJDvz,https://api.spotify.com/v1/audio-analysis/1sEoTdMnGlDjiQRIYrJDvz,210955,4,2023-03-10T19:39:26Z,Thriller Killer,Kendra Erika,42,29YEIiGDj5agFJ2Bda2dkO,[]
78wkUntddCbvNAzFE8DtCl,0.734,0.736,9,-6.944,0,0.0399,0.07,0.000798,0.16,0.708,111.994,audio_features,spotify:track:78wkUntddCbvNAzFE8DtCl,https://api.spotify.com/v1/tracks/78wkUntddCbvNAzFE8DtCl,https://api.spotify.com/v1/audio-analysis/78wkUntddCbvNAzFE8DtCl,192542,4,2023-03-10T14:31:01Z,It's Been So Long,K.Flay,47,0pCNk4D3E2xtszsm6hMsWr,"['escape room', 'hip pop', 'modern alternative rock']"
2qj4zNNhbdy45TfO45HarO,0.552,0.453,8,-10.848,0,0.0613,0.469,0.0132,0.179,0.498,104.975,audio_features,spotify:track:2qj4zNNhbdy45TfO45HarO,https://api.spotify.com/v1/tracks/2qj4zNNhbdy45TfO45HarO,https://api.spotify.com/v1/audio-analysis/2qj4zNNhbdy45TfO45HarO,236734,4,2023-03-10T14:13:02Z,Are You All Alone?,Lyrah,39,5JyKQ4MQ2HkU1n1BYiKMWW,[]
5vGUEnUZ0At77Rvwc17ovx,0.704,0.667,10,-7.903,0,0.051,0.191,0.00328,0.202,0.564,109.953,audio_features,spotify:track:5vGUEnUZ0At77Rvwc17ovx,https://api.spotify.com/v1/tracks/5vGUEnUZ0At77Rvwc17ovx,https://api.spotify.com/v1/audio-analysis/5vGUEnUZ0At77Rvwc17ovx,188438,4,2023-03-10T13:37:29Z,Think it Over,New Constellations,52,5WF5jtgP0H31QTl5g4WxW9,[]
5JFcinbCoXIMoVADs7YwK7,0.186,0.158,2,-15.852,1,0.038,0.896,0.203,0.0777,0.0428,69.571,audio_features,spotify:track:5JFcinbCoXIMoVADs7YwK7,https://api.spotify.com/v1/tracks/5JFcinbCoXIMoVADs7YwK7,https://api.spotify.com/v1/audio-analysis/5JFcinbCoXIMoVADs7YwK7,111533,3,2023-03-08T21:25:31Z,Lipstick Stains,Jay Som,44,1wmiQ6ytATiGnJs6uFluKO,"['art pop', 'bay area indie', 'bubblegrunge', 'indie pop', 'oakland indie', 'small room']"
6H3uEl6cwtz6w8w1vTbAxE,0.528,0.732,2,-9.492,1,0.0504,0.0319,0.868,0.109,0.0324,199.978,audio_features,spotify:track:6H3uEl6cwtz6w8w1vTbAxE,https://api.spotify.com/v1/tracks/6H3uEl6cwtz6w8w1vTbAxE,https://api.spotify.com/v1/audio-analysis/6H3uEl6cwtz6w8w1vTbAxE,292525,4,2023-03-06T17:57:58Z,Hypnocurrency,"Rezz,deadmau5",60,4aKdmOXdUKX07HVd3sGgzw,"['brostep', 'canadian electronic', 'edm', 'electra', 'electro house']"
